Index,Item Timestamps,Timestamps_close,Close,Timestamps_average,Average,Timestamps,Volume
72,2020/06/19,2020/06/19,2892,2020/06/19,2954,2020/06/19,4061582.0
73,2020/06/20,2020/06/20,2878,2020/06/20,2949,2020/06/20,1826726.0
74,2020/06/21,2020/06/21,2846,2020/06/21,2943,2020/06/21,140901.0
75,2020/06/22,2020/06/22,2863,2020/06/22,2936,2020/06/22,3306646.0
76,2020/06/23,2020/06/23,2871,2020/06/23,2930,2020/06/23,2359518.0
77,2020/06/24,2020/06/24,2881,2020/06/24,2926,2020/06/24,0.0
78,2020/06/25,2020/06/25,2872,2020/06/25,2922,2020/06/25,3113917.0
79,2020/06/26,2020/06/26,2870,2020/06/26,2917,2020/06/26,3202160.0
80,2020/06/27,2020/06/27,2871,2020/06/27,2913,2020/06/27,2229937.0
81,2020/06/28,2020/06/28,2845,2020/06/28,2908,2020/06/28,2332296.0
82,2020/06/29,2020/06/29,2832,2020/06/29,2903,2020/06/29,2525687.0
83,2020/06/30,2020/06/30,2813,2020/06/30,2897,2020/06/30,4141542.0
84,2020/07/01,2020/07/01,2840,2020/07/01,2892,2020/07/01,1817075.0
85,2020/07/02,2020/07/02,2862,2020/07/02,2887,2020/07/02,2592566.0
86,2020/07/03,2020/07/03,2885,2020/07/03,2883,2020/07/03,3349612.0
87,2020/07/04,2020/07/04,2904,2020/07/04,2879,2020/07/04,3292863.0
88,2020/07/05,2020/07/05,2893,2020/07/05,2876,2020/07/05,1418739.0
89,2020/07/06,2020/07/06,2924,2020/07/06,2875,2020/07/06,3581888.0
90,2020/07/07,2020/07/07,2939,2020/07/07,2875,2020/07/07,2311677.0
91,2020/07/08,2020/07/08,2916,2020/07/08,2874,2020/07/08,176703.0
92,2020/07/09,2020/07/09,2910,2020/07/09,2874,2020/07/09,2309311.0
93,2020/07/10,2020/07/10,2917,2020/07/10,2874,2020/07/10,3651066.0
94,2020/07/11,2020/07/11,2915,2020/07/11,2875,2020/07/11,3119257.0
95,2020/07/12,2020/07/12,2892,2020/07/12,2874,2020/07/12,1375016.0
96,2020/07/13,2020/07/13,2889,2020/07/13,2875,2020/07/13,2735676.0
97,2020/07/14,2020/07/14,2895,2020/07/14,2877,2020/07/14,2671478.0
98,2020/07/15,2020/07/15,2905,2020/07/15,2880,2020/07/15,813739.0
99,2020/07/16,2020/07/16,2935,2020/07/16,2883,2020/07/16,2620095.0
100,2020/07/17,2020/07/17,2964,2020/07/17,2887,2020/07/17,2250252.0
101,2020/07/18,2020/07/18,2970,2020/07/18,2889,2020/07/18,1864243.0
102,2020/07/19,2020/07/19,2993,2020/07/19,2893,2020/07/19,396177.0
103,2020/07/20,2020/07/20,3004,2020/07/20,2897,2020/07/20,2238395.0
104,2020/07/21,2020/07/21,2995,2020/07/21,2902,2020/07/21,2000990.0
105,2020/07/22,2020/07/22,2986,2020/07/22,2906,2020/07/22,85624.0
106,2020/07/23,2020/07/23,2974,2020/07/23,2909,2020/07/23,2684566.0
107,2020/07/24,2020/07/24,2956,2020/07/24,2912,2020/07/24,2612277.0
108,2020/07/25,2020/07/25,2902,2020/07/25,2913,2020/07/25,3409883.0
109,2020/07/26,2020/07/26,2896,2020/07/26,2914,2020/07/26,689490.0
110,2020/07/27,2020/07/27,2876,2020/07/27,2914,2020/07/27,2385468.0
111,2020/07/28,2020/07/28,2786,2020/07/28,2912,2020/07/28,3211106.0
112,2020/07/29,2020/07/29,2786,2020/07/29,2910,2020/07/29,2304520.0
113,2020/07/30,2020/07/30,2795,2020/07/30,2910,2020/07/30,3563808.0
114,2020/07/31,2020/07/31,2806,2020/07/31,2909,2020/07/31,1210373.0
115,2020/08/01,2020/08/01,2810,2020/08/01,2907,2020/08/01,3591397.0
116,2020/08/02,2020/08/02,2837,2020/08/02,2905,2020/08/02,941463.0
117,2020/08/03,2020/08/03,2874,2020/08/03,2904,2020/08/03,2568273.0
118,2020/08/04,2020/08/04,2901,2020/08/04,2904,2020/08/04,2179187.0
119,2020/08/05,2020/08/05,2897,2020/08/05,2904,2020/08/05,928556.0
120,2020/08/06,2020/08/06,2876,2020/08/06,2901,2020/08/06,1452303.0
121,2020/08/07,2020/08/07,2858,2020/08/07,2900,2020/08/07,2765818.0
122,2020/08/08,2020/08/08,2851,2020/08/08,2898,2020/08/08,2557935.0
123,2020/08/09,2020/08/09,2855,2020/08/09,2895,2020/08/09,1052701.0
124,2020/08/10,2020/08/10,2886,2020/08/10,2895,2020/08/10,3033254.0
125,2020/08/11,2020/08/11,2939,2020/08/11,2896,2020/08/11,905253.0
126,2020/08/12,2020/08/12,2938,2020/08/12,2898,2020/08/12,2742742.0
127,2020/08/13,2020/08/13,3006,2020/08/13,2901,2020/08/13,1532211.0
128,2020/08/14,2020/08/14,3015,2020/08/14,2905,2020/08/14,2779062.0
129,2020/08/15,2020/08/15,3073,2020/08/15,2910,2020/08/15,924602.0
130,2020/08/16,2020/08/16,3053,2020/08/16,2913,2020/08/16,2487091.0
131,2020/08/17,2020/08/17,3071,2020/08/17,2916,2020/08/17,269953.0
132,2020/08/18,2020/08/18,3032,2020/08/18,2917,2020/08/18,1791447.0
133,2020/08/19,2020/08/19,3020,2020/08/19,2918,2020/08/19,1648961.0
134,2020/08/20,2020/08/20,2988,2020/08/20,2918,2020/08/20,2737276.0
135,2020/08/21,2020/08/21,2935,2020/08/21,2916,2020/08/21,2618308.0
136,2020/08/22,2020/08/22,2895,2020/08/22,2913,2020/08/22,1890714.0
137,2020/08/23,2020/08/23,2902,2020/08/23,2911,2020/08/23,2218000.0
138,2020/08/24,2020/08/24,2898,2020/08/24,2911,2020/08/24,2136209.0
139,2020/08/25,2020/08/25,2904,2020/08/25,2912,2020/08/25,2078393.0
140,2020/08/26,2020/08/26,2909,2020/08/26,2913,2020/08/26,2209111.0
141,2020/08/27,2020/08/27,2928,2020/08/27,2917,2020/08/27,2798870.0
142,2020/08/28,2020/08/28,2932,2020/08/28,2922,2020/08/28,1337405.0
143,2020/08/29,2020/08/29,2914,2020/08/29,2926,2020/08/29,3045921.0
144,2020/08/30,2020/08/30,2928,2020/08/30,2930,2020/08/30,1345567.0
145,2020/08/31,2020/08/31,2919,2020/08/31,2934,2020/08/31,1954026.0
146,2020/09/01,2020/09/01,2926,2020/09/01,2937,2020/09/01,1546812.0
147,2020/09/02,2020/09/02,2908,2020/09/02,2938,2020/09/02,1811195.0
148,2020/09/03,2020/09/03,2914,2020/09/03,2939,2020/09/03,2976521.0
149,2020/09/04,2020/09/04,2957,2020/09/04,2941,2020/09/04,2705115.0
150,2020/09/05,2020/09/05,2975,2020/09/05,2944,2020/09/05,1694257.0
151,2020/09/06,2020/09/06,2968,2020/09/06,2947,2020/09/06,1593161.0
152,2020/09/07,2020/09/07,2959,2020/09/07,2951,2020/09/07,2602267.0
153,2020/09/08,2020/09/08,2952,2020/09/08,2954,2020/09/08,1717382.0
154,2020/09/09,2020/09/09,2953,2020/09/09,2957,2020/09/09,1560493.0
155,2020/09/10,2020/09/10,2966,2020/09/10,2957,2020/09/10,2272378.0
156,2020/09/11,2020/09/11,2960,2020/09/11,2958,2020/09/11,2727571.0
157,2020/09/12,2020/09/12,2956,2020/09/12,2957,2020/09/12,2163203.0
158,2020/09/13,2020/09/13,2962,2020/09/13,2955,2020/09/13,2074447.0
159,2020/09/14,2020/09/14,3055,2020/09/14,2954,2020/09/14,1836305.0
160,2020/09/15,2020/09/15,3093,2020/09/15,2955,2020/09/15,650878.0
161,2020/09/16,2020/09/16,3092,2020/09/16,2956,2020/09/16,1329232.0
162,2020/09/17,2020/09/17,3038,2020/09/17,2956,2020/09/17,2682156.0
163,2020/09/18,2020/09/18,3015,2020/09/18,2956,2020/09/18,1609284.0
164,2020/09/19,2020/09/19,2997,2020/09/19,2957,2020/09/19,2355159.0
165,2020/09/20,2020/09/20,2975,2020/09/20,2958,2020/09/20,386066.0
166,2020/09/21,2020/09/21,2953,2020/09/21,2960,2020/09/21,469726.0
167,2020/09/22,2020/09/22,2952,2020/09/22,2961,2020/09/22,1199300.0
168,2020/09/23,2020/09/23,2936,2020/09/23,2963,2020/09/23,2524455.0
169,2020/09/24,2020/09/24,2950,2020/09/24,2964,2020/09/24,2230028.0
170,2020/09/25,2020/09/25,2976,2020/09/25,2966,2020/09/25,1018861.0
171,2020/09/26,2020/09/26,2995,2020/09/26,2969,2020/09/26,2898945.0
172,2020/09/27,2020/09/27,3048,2020/09/27,2973,2020/09/27,335173.0
173,2020/09/28,2020/09/28,3042,2020/09/28,2977,2020/09/28,1512764.0
174,2020/09/29,2020/09/29,3005,2020/09/29,2979,2020/09/29,2009131.0
175,2020/09/30,2020/09/30,3028,2020/09/30,2983,2020/09/30,1277372.0
176,2020/10/01,2020/10/01,3025,2020/10/01,2986,2020/10/01,1732276.0
177,2020/10/02,2020/10/02,3021,2020/10/02,2990,2020/10/02,1894476.0
178,2020/10/03,2020/10/03,3010,2020/10/03,2993,2020/10/03,2372104.0
179,2020/10/04,2020/10/04,3030,2020/10/04,2996,2020/10/04,226726.0
180,2020/10/05,2020/10/05,3070,2020/10/05,2999,2020/10/05,1344968.0
181,2020/10/06,2020/10/06,3071,2020/10/06,3002,2020/10/06,39645.0
182,2020/10/07,2020/10/07,3107,2020/10/07,3007,2020/10/07,2819508.0
183,2020/10/08,2020/10/08,3141,2020/10/08,3014,2020/10/08,1734333.0
184,2020/10/09,2020/10/09,3232,2020/10/09,3023,2020/10/09,1508503.0
185,2020/10/10,2020/10/10,3336,2020/10/10,3035,2020/10/10,2842744.0
186,2020/10/11,2020/10/11,3264,2020/10/11,3045,2020/10/11,1164190.0
187,2020/10/12,2020/10/12,3254,2020/10/12,3055,2020/10/12,2716168.0
188,2020/10/13,2020/10/13,3184,2020/10/13,3063,2020/10/13,901748.0
189,2020/10/14,2020/10/14,3075,2020/10/14,3063,2020/10/14,1360045.0
190,2020/10/15,2020/10/15,2972,2020/10/15,3059,2020/10/15,1603374.0
191,2020/10/16,2020/10/16,2957,2020/10/16,3055,2020/10/16,2903125.0
192,2020/10/17,2020/10/17,2933,2020/10/17,3051,2020/10/17,2351932.0
193,2020/10/18,2020/10/18,2934,2020/10/18,3049,2020/10/18,1233753.0
194,2020/10/19,2020/10/19,2943,2020/10/19,3047,2020/10/19,2108726.0
195,2020/10/20,2020/10/20,2951,2020/10/20,3046,2020/10/20,2096611.0
196,2020/10/21,2020/10/21,2933,2020/10/21,3045,2020/10/21,2588792.0
197,2020/10/22,2020/10/22,2978,2020/10/22,3046,2020/10/22,1789119.0
198,2020/10/23,2020/10/23,3066,2020/10/23,3051,2020/10/23,1713032.0
199,2020/10/24,2020/10/24,3054,2020/10/24,3054,2020/10/24,1879177.0
